variant,seed,horizon_step,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent
locked_st_clean,2052,1,0.1067991182208061,0.3268013436643217,0.2037283927202224,24.359498977661133,15.18574333190918,29.75562858581543
locked_st_clean,2052,2,0.2588223814964294,0.5087458908889874,0.3267247080802917,37.92149353027344,24.353782653808597,40.42311096191406
locked_st_clean,2052,3,0.4065152704715729,0.6375855005186151,0.4234898388385772,47.525089263916016,31.56657600402832,48.74348831176758
locked_st_clean,2052,4,0.5363378524780273,0.7323509080202109,0.5025489926338196,54.58882522583008,37.45957946777344,53.90815734863281
locked_st_clean,2052,5,0.6610944271087646,0.8130771347841266,0.5735113024711609,60.60608673095703,42.74905014038086,60.5577392578125
locked_st_clean,2052,6,0.7778056263923645,0.881932892227274,0.6318651437759399,65.73853302001953,47.09870147705078,64.32342529296875
st_time_residual_adapter,2052,1,0.102339893579483,0.3199060699322272,0.1944526135921478,23.84552955627441,14.494333267211914,31.31304931640625
st_time_residual_adapter,2052,2,0.2518955171108246,0.5018919376826296,0.3123798072338104,37.410606384277344,23.28453254699707,38.27629852294922
st_time_residual_adapter,2052,3,0.4001541435718536,0.6325773814892954,0.4107984006404876,47.15178680419922,30.62057113647461,48.26487731933594
st_time_residual_adapter,2052,4,0.525090217590332,0.7246310906870695,0.4915423095226288,54.01339340209961,36.6391487121582,54.14313507080078
st_time_residual_adapter,2052,5,0.6482553482055664,0.8051430607075779,0.5643500089645386,60.01469039916992,42.06617736816406,60.11227416992188
st_time_residual_adapter,2052,6,0.7615078687667847,0.8726441822225051,0.6204341650009155,65.0461654663086,46.24663925170898,63.47251129150391
st_causal_filterbank_residual,2052,1,0.10343542695045471,0.32161378538622176,0.1964164525270462,23.972822189331055,14.640719413757324,30.660978317260742
st_causal_filterbank_residual,2052,2,0.2546192705631256,0.5045981277840076,0.3150767982006073,37.61232376098633,23.485559463500977,38.77278137207031
